"Source","Cu","Mn","Mo","Ni","Pb","Sb"
"Site1",19.7,3.08,0.75,-1.86,7.28,4.7
"Site2",10.64,4.51,0.94,7.23,4.8,2.5
"Site1",33.79,14.82,3.47,17.96,50.67,7.76
"Site2",5.35,4.55,0.57,5.64,4.72,1.35
"Site2",19.89,6.28,2.28,16.37,8.97,4.67
"Site2",26.97,27.52,2.94,9.07,38.65,7.91
"Site1",13.85,7.97,1.44,5.09,7.58,3.65
"Site3",21.99,14.13,2.73,17.24,11.03,6.43
"Site3",19.72,7.63,2.25,9.89,10.12,5.4
"Site1",23.24,5.8,1.17,0.37,5.01,4.56
"Site3",21,,,,,
"Site1",17.35,16.77,1.56,0.8,13.36,
"Site3",13.68,12.4,1.06,4.76,5.96,
"Site1",16.89,7.22,1.26,4.05,5.74,
"Site3",8.77,9.99,0.61,0.55,4.17,
"Site1",23,,,,,
"Site3",16.44,8.42,1.42,7.96,,2.86
"Site1",12.73,5.85,1.2,6.73,,2.97
"Site3",36.9,8.9,2.39,-0.37,,9.52
"Site3",30.71,9.09,1.97,2.04,,6.97
"Site1",12,,,,,
"Site3",12.01,6.38,1.23,9.69,,2.8
"Site1",29.09,6.79,2.12,-2.19,,7.36
"Site3",31.4,4.68,1.54,0.65,,6.17
"Site1",43.62,11.14,3,0.48,,10.18
"Site3",20.36,5.21,1.44,5.8,,3.78
"Site1",10.53,8.75,1.76,3.43,,2.75
"Site3",3.06,2.05,0.11,-0.66,,0.96
"Site3",23.43,7.01,1.63,3.53,,6.44
"Site1",25.21,5.5,1.78,-1.23,,5.72
"Site3",32.74,2.71,1.52,-0.99,4.74,5.61
"Site1",38.66,8.62,3.97,1.09,15.12,10.27
"Site3",57.77,18.76,4.18,2.38,40.32,14.94
"Site4",17.29,4.1,1.23,0.54,6.61,4.4
"Site2",65.73,13.13,5.14,0.86,18.51,16.35
"Site1",31.22,6.99,2.33,-1.07,8.71,8.25
"Site3",45.43,7.65,3.08,-0.74,12.34,10.06
"Site4",43.43,5.57,2.89,-1.67,7.46,9.57
"Site2",43.26,8.44,2.67,-1.35,14.97,9.92
"Site2",45,,,,,
"Site1",53.44,8.2,3.03,0.27,11.16,9.77
"Site3",41.27,9.3,3.22,-0.42,10.45,10.83
"Site4",35.09,6.08,2.53,-1.11,8.12,6.56
"Site2",44.97,7.34,3.22,-0.11,9.66,10.6
"Site2",37.42,5.39,1.86,-1.45,11.42,6.73
"Site1",15.73,4.3,0.92,0.47,7.66,3.65
"Site3",41.45,7.73,3.01,-1.55,18.88,10.49
"Site4",30.08,11.14,2.16,-1.13,10.61,7.69
"Site2",24.83,6.42,1.86,-1.86,8.58,6.03
"Site2",41.24,10.11,2.96,0.35,14.11,10.01
"Site2",25.25,5.44,2.02,5.04,8.92,6.59
"Site2",37.39,8.27,2.68,7.3,13.58,8.66
"Site2",52.99,10.77,4.22,2.7,12.78,13.23
"Site2",17.47,9.22,2.55,28.66,9.29,4.8
"Site2",26.29,4.96,1.34,-0.65,10.09,4.94
"Site2",89.63,15.23,3.89,2.76,26.63,13.45
"Site2",23,,,,,
"Site3",28.22,6.98,2.45,0.13,16.72,7.82
"Site4",29.3,6.63,2.61,15.74,7.42,6.36
"Site1",-30.43,-10.84,-0.9,-6.97,-0.01,-0.68
"Site3",5.23,1.72,0.55,-0.72,17.59,2.26
"Site4",37.16,5.58,2.82,1.63,14.12,8.67
"Site2",27.07,6.16,2.01,2.11,14.89,6.5
"Site1",32.33,7.08,2.61,8.18,12.47,8.25
"Site3",13.51,4.3,0.88,0.47,10.47,2.76
"Site4",34.2,5.51,2.61,0.01,6.67,8.9
"Site2",32.18,6.47,2.63,-0.32,10.42,8.72
"Site2",22.02,4.38,1.7,-1.36,6.78,4.46
"Site1",79.81,22.54,6.97,12.46,28.32,18.58
"Site3",24.41,7.8,2.28,2.65,13.81,5.33
"Site4",38.74,15.04,3,1.97,29.86,9.34
"Site2",35.44,8.74,2.47,-0.95,12.06,8.29
"Site2",20.95,4.41,0.63,-1.21,2.03,2.66
"Site1",29.77,8.31,2.38,1.02,16.95,8.61
"Site3",12,,,,,
"Site4",40.7,16.05,3.17,4.44,22.52,9.22
"Site2",38.07,13.86,3.21,4.56,19.34,10.01
"Site2",43.61,23.8,3.58,118.13,8.53,8.4
"Site2",45,,,,,
"Site2",26.72,5.57,2.12,-1.53,7.14,7.12
"Site2",71.86,15.23,6.05,1.78,21.56,18.88
"Site2",34.73,4.46,1.79,3.11,4.18,5.19
"Site2",41.86,6.55,2.71,-0.68,7.94,9.43
"Site2",53.96,11.57,4.19,4.14,16.58,12.67
"Site2",30.34,5.78,1.7,-1.9,4.9,5.22
"Site3",47.9,11.58,2.94,7.92,26.05,9.59
"Site2",34.82,6.13,2.09,4.94,7.91,7.66
"Site1",32.76,7.37,2.2,0.76,9.46,6.76
"Site3",34.39,6.51,2.69,-0.92,11.13,8.52
"Site4",50.28,9.05,3.46,-0.12,12.67,10.82
"Site2",34,,,,,
"Site2",23,,,,,
"Site2",52.72,4.39,3.38,3.81,12.34,12.6
"Site2",55.32,10.25,4.38,0.68,26.71,17.35
"Site2",38.67,5.63,3.43,-0.02,11.54,11.48
"Site2",66.35,12.21,4.69,1.99,14.67,14.7
"Site2",39.34,6.97,3.89,0.37,14.96,10.45
"Site2",12,,,,,
"Site2",62.2,10.77,5.08,-0.54,21.28,15.39
"Site3",21.53,4.84,1.91,-0.43,7.1,4.94
"Site4",45,,,,,
"Site1",28.01,3.82,1.91,3.42,7.77,4.72
"Site2",47.27,5.67,2.49,-1.08,11.72,7.76
"Site1",50.35,5.84,4.21,1.11,11.06,11.35
"Site2",62.58,12.81,4.52,1.7,46.3,14.07
"Site4",45.47,8.63,3.51,-0.66,6.48,9.23
"Site1",25.45,3.24,2.25,-0.9,8.71,5.87
"Site1",54.8,7.67,4.21,1.28,15.85,12.99
"Site1",39.99,9.14,3.03,0.34,12.68,9.51
"Site1",28.61,16.18,2.11,84.17,5.6,4.4
"Site1",22.83,4.53,1.87,-0.82,5.79,5.9
"Site2",35.81,5.34,2.99,-0.24,11.26,9.48
"Site1",232.22,4.57,4.73,69.21,17.5,4.72
"Site2",28.5,3.62,2.07,-0.43,7.03,6.4
"Site2",25.37,6.13,2.22,2.54,9.47,6.34
"Site2",29.72,1.35,1.83,-1.03,6,7.46
"Site1",19.59,3.24,0.96,-2.6,2.5,3.56
"Site3",30.31,5.08,2.66,0.27,13.3,7.72
"Site3",29.38,2.44,1.9,0.78,7.94,5.64
"Site1",24.42,2.74,1.38,-1,7.12,4.55
"Site3",32.29,4.81,9.26,1.32,12.21,6.62
"Site1",45.97,4.54,2.87,-0.03,6.51,8.33
"Site3",61.75,8.33,4.87,5.03,11.13,15.59
"Site1",29.81,4,2.31,2.87,9.01,6.52
"Site3",35.07,5.42,3.34,0.62,9.15,9.45
"Site1",18.24,2.81,2.82,-0.63,8.77,4.57
"Site3",50.72,8.88,4.14,-0.82,9.38,10.3
"Site1",36.89,4.29,2.34,-0.03,10.62,7.43
"Site3",59.14,6.93,4.11,2.3,13.97,13.85
"Site3",29.41,5.59,1.99,0.18,11.65,6.58
"Site1",34.92,5.32,2.39,2.68,9.1,7.9
"Site3",56.08,11.15,5.1,0.79,12.43,16.14
"Site1",65,,,,,
"Site3",35.27,7.69,6.64,22.23,10.58,7.86
"Site1",34.61,5.29,2.79,1.41,8.95,7.82
"Site3",66.02,8.49,5.77,3.6,16.78,15.85
"Site1",41.61,3.34,2.81,2.29,3.34,7.01
"Site3",38.07,2.13,1.72,0.93,3.65,7.06
"Site3",47.88,7.84,4.89,8.03,8.2,11.07
"Site1",35.75,3.89,1.5,-0.95,6.35,5.84
"Site3",33.93,5.59,9.92,0.73,13.5,7.73
"Site1",70.62,11.09,6.38,0.82,9.81,16.62
"Site3",58.05,7.88,4.52,3.04,9.84,112.74
"Site4",62.49,7.34,5.04,-0.95,8.26,14.61
"Site2",53.55,10.16,4.58,0.09,12.24,13.05
"Site1",48.02,13.26,4.94,-1.36,10.14,11.19
"Site3",57.35,7.75,3.64,-1.03,251.63,15.48
"Site4",45.42,6.73,3.32,1,10.46,8.56
"Site2",45,,,,,
"Site3",39.31,7.41,3.67,-0.82,10.76,8.99
"Site4",80.45,19.55,7.16,2.74,20.77,16.14
"Site2",42.41,9.88,4.34,-0.57,16.06,10.13
"Site1",57.7,12.28,4.92,2.7,25.22,14.18
"Site3",76.6,15.58,6.99,3.23,25.13,17.39
"Site4",299.46,6.38,2.13,21.33,40.85,4.03
"Site2",34,,,,,
"Site3",44,8.57,4.23,1.23,5.85,9.44
"Site4",46.83,9.14,4.2,0.59,6.33,10.84
"Site2",23,,,,,
"Site1",60.56,11.96,5.53,0.13,11.01,12.87
"Site3",30.87,5.62,2.54,-0.46,3.97,6.37
"Site4",45.61,10.85,4.2,1.08,16.32,10.04
"Site2",21.16,7.45,3.98,27.12,4.64,4.46
"Site3",25.67,8.82,3.52,9.13,9.38,6.31
"Site4",23.66,6.34,2.38,1.44,8.63,5.33
"Site2",35.71,9.79,3.59,3.01,10.08,7.97
"Site1",59.45,14.12,5.78,0.75,15.45,12.18
"Site3",43.6,10.41,4.79,5.26,17.14,10.07
"Site4",54.66,18.23,5.51,15.79,15.5,10.97
"Site2",26.86,7.14,2.75,0.19,5.13,5.23
"Site3",35.43,5.4,3.09,2.49,6.29,6.63
"Site4",37.91,11.32,3.42,9.25,12.14,6.54
"Site2",40.85,7.27,3,2.36,5.91,8.21
"Site1",16.54,5.66,1.9,5.69,3.91,4.15
"Site3",23,,,,,
"Site4",52.88,10.19,5.02,7.97,9.12,10.56
"Site2",47.3,9.65,4.73,4.33,8.25,10.03
"Site3",39.67,7.29,3.51,12.24,7.43,6.85
"Site3",42.98,9.48,3.94,3.09,7.86,9.82
"Site4",68,13.02,6.96,8.01,9.32,13.11
"Site3",56.22,12.22,5.94,18.48,18.54,11.24
"Site3",48.52,9.98,5.74,16.71,10.3,9.27
"Site4",38.48,11.28,4.89,21.33,9.98,7.36
"Site4",53.54,11.24,5.62,10.85,11.03,10.77
"Site2",75.85,17.56,12.96,19.03,20.3,15.08
"Site1",40.73,7.75,4.13,3.84,8.41,8.67
"Site3",53.14,9.5,5.36,5.79,9.42,10.27
"Site4",65.82,14.38,7.05,12.34,10.08,12.95
"Site2",23.69,4.38,2.3,2.81,5.25,5.03
"Site3",76.45,19.38,6.75,36.4,18.16,13.09
"Site3",-26.67,-9.43,-0.8,-6.04,-0.53,-0.68
"Site4",75.84,18.38,9.25,22.55,10.4,14.39
"Site3",59.06,12.83,5.65,3.5,8.07,11.43
"Site1",67.55,11.65,5.27,8.05,9.75,10.84
"Site3",54.99,12.18,5.9,8.61,13.88,10.33
"Site3",54.71,14.81,5.6,5.88,34.05,12.28
"Site1",13.1,4.18,1.46,3.55,7.48,2.67
"Site3",48.99,11.44,4.87,5.31,10.38,9.32
"Site1",72.42,16.1,7.05,6.39,21.19,14.82
"Site3",51.48,11.63,4.92,8.33,15.44,9.67
"Site1",29.81,6.45,2.79,1.55,9.26,5.77
"Site3",25.93,13.41,2.98,6.83,14.4,5.77
"Site1",58.17,12.75,5.56,11.77,13.16,9.55
"Site3",45.31,15.03,4.99,18.58,20.76,8.51
"Site1",15.43,5.31,1.88,6.74,5.67,3.09
"Site3",41.09,14.71,4.85,10.52,21.14,9.39
"Site1",62.16,16.12,8.07,3.13,14.34,12.54
"Site3",39.21,10.8,3.35,9.28,10.33,7.16
"Site1",35.38,11.21,3.94,5.67,11.35,7.53
"Site3",38.62,13.1,4.4,12.25,10.07,7.67
"Site1",-11.89,-3.1,-0.34,0.24,0.71,-0.06
"Site3",33.48,11.13,3.55,21.98,5.05,6.03
